month,client_name,industry,tier,acquisition_source,partner_name,months_active,contract_length_months,mrr,arr,expansion_revenue,active_users,dau,mau,products_count,feature_adoption_rate,self_service_portal_usage,support_tickets,avg_resolution_time_hrs,nps_score,csat_score,customer_health_score,cac,sales_cycle_days,ps_hours_contracted,ps_hours_used,implementation_days,time_to_value_days,is_churned,open_opportunities,pipeline_value,weighted_pipeline,win_rate,avg_deal_cycle_days,pipeline_coverage,days_to_renewal,is_renewal_period,renewal_risk_score,renewal_conversations_count,renewal_probability,partner_influenced_revenue,partner_commission_pct,partner_engagement_score,ai_tools_adopted,ai_tool_usage_hours_saved,automation_workflows_active,automated_report_views,self_service_reports_created,dashboard_views,data_quality_score,report_generation_time_mins,active_data_models,data_refresh_frequency_hrs,data_integration_sources,executive_report_requests,adhoc_analysis_requests,stakeholder_satisfaction_score,report_delivery_sla_met_pct,reports_delivered_on_time,total_reports_requested,avg_report_turnaround_days,closed_won_deals,closed_lost_deals,avg_closed_deal_size,client_start_date,ps_utilization_rate,dau_mau_ratio,report_delivery_rate,win_loss_ratio
2024-09-01,Client_A,Healthcare,Enterprise,Alliance Partner,Partner_4,0,36,21554,258648,0,121,68,121,1,0.6526776440516813,56,40,11.14653193158583,67,4.132882729527905,61.04290268033246,95181,86,190,57,169,152,0,2,193013,87544.6436984812,0.23336140250149257,72,2.23871439176023,1095,False,0.0,0,0.7256237940428768,21369.55411166899,0.15048918176689402,63.246104518305174,0,0,5,98,43,155,0.971069240991157,11.21624501371345,11,1,8,2,19,3.9397674221106396,0.9442959699241665,38,56,2.153731541539959,1,0,62012,2024-09-01,0.3,0.56,0.68,1.0
2024-10-01,Client_A,Healthcare,Enterprise,Alliance Partner,Partner_4,1,36,21635,259620,0,128,78,128,1,0.6267051511842178,263,28,9.482088469179901,35,4.78297658152272,90.32692833643443,0,0,93,45,0,0,0,9,176455,53409.96210067713,0.36873803938510474,65,2.0389993066789924,1065,False,0.0,0,0.7256237940428768,19308.19993667978,0.1404921740176417,92.38869128674261,5,35,3,185,25,451,0.9652470366388558,1.7831312656899752,3,8,8,5,4,3.81647426537949,0.9914364571502582,35,33,4.932631991769281,3,2,170285,2024-09-01,0.48,0.61,1.06,1.0
2024-11-01,Client_A,Healthcare,Enterprise,Alliance Partner,Partner_4,2,36,19992,239904,0,123,83,123,1,0.8489114418012385,152,28,12.088754921235033,77,4.3420522012447265,69.19595629830273,0,0,170,17,0,0,0,1,50066,28861.428114344148,0.3876238093088893,99,0.6260754301720688,1034,False,0.0,0,0.7256237940428768,18378.281868478723,0.157715096751175,80.85609499263948,3,33,4,151,5,368,0.9581082729040292,10.543945166372048,11,8,7,2,11,4.152147876003657,0.918058555949381,31,52,5.571773194312388,0,2,0,2024-09-01,0.1,0.67,0.6,0.0
2024-12-01,Client_A,Healthcare,Enterprise,Alliance Partner,Partner_4,3,36,20995,251940,0,133,72,133,1,0.8767498738267514,286,38,44.250700742202305,68,3.7983666526470996,73.08698484069018,0,0,122,76,0,0,0,5,90612,31140.751646611316,0.22226147773416993,117,1.0789711836151465,1004,False,0.0,0,0.7256237940428768,20772.240720806276,0.11284801781018182,77.00966621608148,0,0,8,42,13,357,0.9212923567148097,8.697250308929215,7,24,5,9,8,4.569423459228682,0.9098488449996144,38,48,6.397684507857672,3,0,114986,2024-09-01,0.62,0.54,0.79,3.0
2025-01-01,Client_A,Healthcare,Enterprise,Alliance Partner,Partner_4,4,36,21098,253176,0,133,66,133,2,0.7539204732742271,65,19,5.100415093074145,67,4.330882283636719,80.59540400436228,0,0,124,4,0,0,0,4,185368,91061.78892711691,0.31177017941842644,118,2.196511517679401,973,False,0.0,0,0.7256237940428768,19309.782677162308,0.13644958635935867,76.55405300306077,3,12,1,34,47,240,0.9031446349884331,6.755431864696332,14,1,3,1,14,4.592320382661774,0.9700888766292548,21,35,2.149540432849924,3,0,160593,2024-09-01,0.03,0.5,0.6,3.0
2025-02-01,Client_A,Healthcare,Enterprise,Alliance Partner,Partner_4,5,36,21329,255948,0,138,91,138,4,0.42529416476244064,188,5,46.573827835098555,34,4.164696117580186,90.14721866666407,0,0,100,96,0,0,0,7,66032,47463.15689116192,0.42073285965316465,66,0.7739697125978714,942,False,0.0,0,0.7256237940428768,18679.82353093173,0.24779632656695888,69.28210703602532,3,18,6,188,40,358,0.957761241294449,3.167155553836898,7,4,2,10,19,3.5914363572147736,0.8970407214654593,18,57,3.8607311026536095,1,0,183124,2024-09-01,0.96,0.66,0.32,1.0
2025-03-01,Client_A,Healthcare,Enterprise,Alliance Partner,Partner_4,6,36,21316,255792,0,138,85,138,5,0.8707980636145447,195,20,28.630276645331687,68,3.601941295063636,90.16367206895453,0,0,198,5,0,0,0,9,147044,57320.97257908112,0.22822970868108985,85,1.7245730906361418,914,False,0.0,0,0.7256237940428768,18070.365953191875,0.15936787701868818,83.509157803599,2,29,5,28,5,254,0.9431738883239639,8.881911038945244,4,1,10,4,18,3.897800622125602,0.9899889066990564,19,35,3.2171625324333037,1,1,192401,2024-09-01,0.03,0.62,0.54,0.5
2025-04-01,Client_A,Healthcare,Enterprise,Alliance Partner,Partner_4,7,36,24156,289872,0,148,98,148,2,0.8658780197180387,76,13,14.165432388407872,71,4.293411038903405,83.37521212994042,0,0,181,13,0,0,0,5,63371,38814.62832956147,0.40587384461756926,109,0.655851548269581,883,False,0.0,0,0.7256237940428768,21684.99508410407,0.2358004736618985,89.61362996531994,0,0,6,80,7,21,0.9000334807907632,2.8314752498238316,7,4,9,9,15,4.34136029716212,0.8667810820884002,24,54,1.2161688283649836,2,2,194841,2024-09-01,0.07,0.66,0.44,0.67
2025-05-01,Client_A,Healthcare,Enterprise,Alliance Partner,Partner_4,8,36,22368,268416,0,144,113,144,4,0.4199474390556091,141,18,33.37506766228652,49,4.046977272990884,92.6580803682229,0,0,66,85,0,0,0,9,50515,38161.97569826069,0.22102119966880762,65,0.564590039341917,853,False,0.0,0,0.7256237940428768,22261.555308919957,0.22161575799105954,90.84956716321635,0,0,2,198,26,420,0.9896223829072488,12.231291945119946,14,4,6,3,5,4.073812583895402,0.8558086911498679,45,34,2.197436980154511,3,1,130003,2024-09-01,1.29,0.78,1.32,1.5
2025-06-01,Client_A,Healthcare,Enterprise,Alliance Partner,Partner_4,9,36,25400,304800,0,159,95,159,3,0.8321764710151431,297,22,18.152721937806604,44,3.5354966520521773,66.75954259146981,0,0,142,65,0,0,0,0,0,0.0,0.44112018330666847,67,0.0,822,False,0.0,0,0.7256237940428768,23269.395847392636,0.24753258593246308,61.33900190736419,4,27,5,196,25,243,0.9409313279959215,8.159922835372694,9,4,6,1,15,3.5025369173279444,0.9888362748248625,49,32,3.185328830687585,0,2,0,2024-09-01,0.46,0.6,1.53,0.0
2025-07-01,Client_A,Healthcare,Enterprise,Alliance Partner,Partner_4,10,36,26186,314232,0,159,93,159,4,0.5546423311043267,154,25,20.510417804655333,72,4.772022919259503,85.19139920548825,0,0,181,37,0,0,0,10,55620,31664.963775129472,0.24028496236966962,115,0.5310089360727106,792,False,0.0,0,0.7256237940428768,25315.18545667921,0.14558124239025308,67.35639397089247,4,38,5,129,33,246,0.951344084978515,8.15643595624422,15,4,3,5,18,4.495780754457498,0.9428891208043563,20,35,5.0367740233430025,1,0,88627,2024-09-01,0.2,0.58,0.57,1.0
2025-08-01,Client_A,Healthcare,Enterprise,Alliance Partner,Partner_4,11,36,23060,276720,0,156,99,156,1,0.8430684545254907,197,17,35.04391211295348,60,4.41691095959102,86.8971268650069,0,0,166,49,0,0,0,1,121449,40236.622334831634,0.3912329568519429,111,1.316663052905464,761,False,0.0,0,0.7256237940428768,20590.50406765645,0.1836108691050093,92.11145050594041,0,0,7,44,34,361,0.9296697828783382,8.824954065206143,8,24,10,7,19,4.16887041811505,0.8738736861314499,45,48,2.555149290790116,1,2,122695,2024-09-01,0.3,0.63,0.94,0.33
2025-09-01,Client_A,Healthcare,Enterprise,Alliance Partner,Partner_4,12,36,26363,316356,0,164,117,164,2,0.5172467890073177,135,25,43.07923430835457,70,3.8588687957219494,75.3955407642716,0,0,75,10,0,0,0,3,26837,12047.685833332289,0.24926441731142507,104,0.2544949360846641,730,False,0.0,0,0.7256237940428768,23282.6112267323,0.13102515842716153,74.70502312206989,4,44,0,157,29,264,0.8508844125375989,5.924623237405545,15,24,8,9,19,4.6998022564119015,0.9846717021098793,46,34,2.6376118705795397,3,0,151936,2024-09-01,0.13,0.71,1.35,3.0
2025-10-01,Client_A,Healthcare,Enterprise,Alliance Partner,Partner_4,13,36,25069,300828,0,171,132,171,4,0.8903609887594617,186,6,43.71872767899134,55,4.586272066440933,89.41769820718955,0,0,184,75,0,0,0,2,131031,40493.48164384892,0.22804689417579144,86,1.306703498344569,700,False,0.0,0,0.7256237940428768,21116.422332979524,0.14902687073219628,86.64303977629095,3,17,6,74,10,260,0.8529074930575016,8.551866670915473,8,4,3,1,2,4.924417599073983,0.8799041023543799,16,59,1.9142940747087422,1,1,79986,2024-09-01,0.41,0.77,0.27,0.5
2024-07-01,Client_B,Financial Services,Mid-Market,Alliance Partner,Partner_6,0,36,5193,62316,4918,99,50,99,1,0.5559786221973476,223,29,20.246104309764856,40,4.947081159551131,63.78345623801623,35995,92,117,13,49,196,0,9,20766,8479.220034237153,0.27851340397042335,92,0.9997111496244945,1095,False,0.0,0,0.9409336860253021,4226.018466549299,0.19713148810852077,60.442825255804856,3,31,1,120,28,345,0.9837362522207654,7.436350866424448,5,24,4,9,10,4.423868531080327,0.987942648535415,45,49,3.6134469580233657,1,2,120358,2024-07-01,0.11,0.51,0.92,0.33
2024-08-01,Client_B,Financial Services,Mid-Market,Alliance Partner,Partner_6,1,36,4912,58944,0,97,70,97,2,0.6849248223391611,221,29,17.474244515003264,35,3.918392373788705,75.77807000678197,0,0,123,63,0,0,0,5,77725,31416.70195096637,0.41409599392746765,80,3.955873371335505,1064,False,0.0,0,0.9409336860253021,4475.609105828199,0.17749408775724013,66.68697482344845,1,46,6,135,40,408,0.8860485904186323,7.665303550978306,14,24,9,1,4,3.941353371980746,0.9106601693016892,30,39,4.9837601295808955,2,1,195089,2024-07-01,0.51,0.72,0.77,1.0
2024-09-01,Client_B,Financial Services,Mid-Market,Alliance Partner,Partner_6,2,36,5205,62460,1516,102,64,102,2,0.5533114956744152,109,12,35.1790792409992,77,4.325582709135018,72.31336846649589,0,0,70,40,0,0,0,3,136929,50102.290452717396,0.3268760717882373,112,6.576801152737752,1033,False,0.0,0,0.9409336860253021,4785.259160873306,0.24707659456937697,89.14199271644738,2,14,5,55,24,27,0.9562027728566547,2.772161437871743,3,1,10,5,6,4.4568044826588915,0.9629188263686881,21,20,4.444385317757994,3,1,165466,2024-07-01,0.57,0.63,1.05,1.5
2024-10-01,Client_B,Financial Services,Mid-Market,Alliance Partner,Partner_6,3,36,5120,61440,0,110,82,110,5,0.60035372112597,68,41,30.954502519791923,46,4.911595395152155,76.72052155429907,0,0,78,6,0,0,0,4,32329,25745.227393459227,0.18553546866343848,98,1.578564453125,1003,False,0.0,0,0.9409336860253021,4716.8692748727935,0.21861112447651293,67.8990497972762,4,24,7,123,24,460,0.9382787708081655,7.0036177059659614,12,1,3,4,8,3.896969187935011,0.8621781198200477,30,31,4.311953473466554,1,0,157090,2024-07-01,0.08,0.75,0.97,1.0
2024-11-01,Client_B,Financial Services,Mid-Market,Alliance Partner,Partner_6,4,36,5319,63828,0,109,63,109,2,0.8298033656702613,68,48,12.737495083361175,48,3.5489597830713864,70.08367113577913,0,0,200,33,0,0,0,6,40087,21115.32324522258,0.34429041702074425,79,1.884141755969167,972,False,0.0,0,0.9409336860253021,5134.570227635734,0.11071147552837213,65.80729762272536,2,38,4,122,12,259,0.953301698681814,10.796271589660043,7,24,9,2,3,4.83413433393868,0.9601800884928423,31,21,1.5479613197859112,0,2,0,2024-07-01,0.16,0.58,1.48,0.0
2024-12-01,Client_B,Financial Services,Mid-Market,Alliance Partner,Partner_6,5,36,5766,69192,0,112,77,112,4,0.8580363939633837,96,42,22.05070940554214,78,4.634403245618836,76.46752881380718,0,0,63,62,0,0,0,5,94163,56693.668994226035,0.4073199283201058,87,4.08268296912938,942,False,0.0,0,0.9409336860253021,5087.509117543284,0.17432035314465066,83.19042379470001,3,48,8,19,34,65,0.8971775735755252,5.525833007863925,15,24,10,1,19,4.192964517473216,0.8581306128065093,48,43,4.735803235610268,3,2,165878,2024-07-01,0.98,0.69,1.12,1.0
2025-01-01,Client_B,Financial Services,Mid-Market,Alliance Partner,Partner_6,6,36,5803,69636,0,111,84,111,1,0.6423558984749991,57,45,30.008096685770386,65,3.6965198434256696,70.0810200745915,0,0,80,30,0,0,0,8,116952,29931.001504965978,0.4476771418185659,59,5.038428399103911,911,False,0.0,0,0.9409336860253021,5177.956425983896,0.11761992236343363,89.12501108191154,3,45,4,140,50,159,0.912323551440303,7.754994077409988,10,4,9,9,6,4.075379019870725,0.9882802224897342,47,28,6.184161606571529,2,1,139096,2024-07-01,0.38,0.76,1.68,1.0
2025-02-01,Client_B,Financial Services,Mid-Market,Alliance Partner,Partner_6,7,36,6063,72756,0,117,79,117,4,0.8994511666146694,175,14,22.541180079986944,30,3.92425847492424,70.44945474201185,0,0,128,61,0,0,0,7,94352,68099.59480990052,0.4442323893997784,75,3.8904832591126506,880,False,0.0,0,0.9409336860253021,5543.761820670891,0.13503436690868398,87.14405662847406,0,0,5,200,35,381,0.9870145251729439,6.337236057259906,13,4,9,1,6,4.253436725199449,0.9385270643964351,21,48,1.5982701864518705,3,0,87789,2024-07-01,0.48,0.68,0.44,3.0
2025-03-01,Client_B,Financial Services,Mid-Market,Alliance Partner,Partner_6,8,36,5660,67920,0,122,70,122,4,0.711629700260999,151,46,5.694504746654655,39,3.6122423723655634,87.35338519455587,0,0,176,42,0,0,0,8,19410,11072.932889825315,0.2204310729306065,81,0.8573321554770318,852,False,0.0,0,0.9409336860253021,5657.086144786436,0.21201495501068907,75.18900151730939,0,0,1,123,15,375,0.8949199120366097,1.4052614915659534,8,1,6,6,13,4.1460301817831,0.8866296148275953,41,56,5.090802228116369,1,0,95893,2024-07-01,0.24,0.57,0.73,1.0
2025-04-01,Client_B,Financial Services,Mid-Market,Alliance Partner,Partner_6,9,36,5441,65292,3811,127,85,127,5,0.5160942221475762,213,21,23.140242962129626,69,4.524701869944071,77.4183538328783,0,0,42,85,0,0,0,2,29362,13654.44194370512,0.2536696873329245,120,1.3491086197390185,821,False,0.0,0,0.9409336860253021,4678.339653896489,0.2443043609235163,84.16097293610451,3,19,3,108,35,74,0.8855808552891362,9.006917692910344,12,8,6,1,14,3.9117205702673417,0.9348893525433548,18,58,5.47103292480382,2,0,142358,2024-07-01,2.02,0.67,0.31,2.0
2025-05-01,Client_B,Financial Services,Mid-Market,Alliance Partner,Partner_6,10,36,5669,68028,0,122,85,122,5,0.8191685584812582,210,11,43.55657038735652,46,4.516646687935039,85.23249318347482,0,0,50,82,0,0,0,5,44448,11293.348971100764,0.2385331354887466,98,1.9601340624448755,791,False,0.0,0,0.9409336860253021,4734.340711869755,0.11982396966201754,78.87927156445474,2,33,8,79,15,151,0.9871073430307469,14.218629425360781,15,8,7,2,16,4.944339939303316,0.8711135522508824,29,45,6.803618483800194,2,0,153435,2024-07-01,1.64,0.7,0.64,2.0
2025-06-01,Client_B,Financial Services,Mid-Market,Alliance Partner,Partner_6,11,36,5569,66828,0,129,74,129,5,0.5905127496362377,213,28,6.983920701164612,59,4.052878487924058,86.21540612378664,0,0,160,29,0,0,0,5,169929,56555.82416482383,0.16896511234805864,104,7.628344406536183,760,False,0.0,0,0.9409336860253021,5468.075951680987,0.14532852617938755,74.29035495283945,1,2,0,87,36,79,0.8645787997932732,13.421630319399032,5,24,9,6,19,4.128690130122084,0.9613403522147974,24,46,4.929531384960784,3,2,156985,2024-07-01,0.18,0.57,0.52,1.0
2025-07-01,Client_B,Financial Services,Mid-Market,Alliance Partner,Partner_6,12,36,6543,78516,0,129,101,129,1,0.8277250966529773,75,48,18.8974080908703,74,4.055794938101653,75.51840801212455,0,0,131,82,0,0,0,7,34031,20339.009754992305,0.3425113401699653,47,1.3002827449182333,730,False,0.0,0,0.9409336860253021,5300.5870390534365,0.1500263734648774,94.60873163794976,4,13,1,151,18,320,0.8823927027878012,13.175735974773627,8,4,2,5,6,4.981290956549259,0.9310323185294727,26,27,4.966345855583901,0,0,0,2024-07-01,0.63,0.78,0.96,0.0
2025-08-01,Client_B,Financial Services,Mid-Market,Alliance Partner,Partner_6,13,36,5760,69120,0,138,79,138,5,0.46337927185639016,157,38,7.227868112181144,45,4.383279383075664,60.55233792289061,0,0,161,8,0,0,0,1,128490,64540.939950348125,0.4336246928910319,50,5.576822916666667,699,False,0.0,0,0.9409336860253021,5445.783932732623,0.23631275318598102,83.06160757877522,2,29,0,25,35,453,0.9102425881768841,10.605364944871258,10,24,3,2,12,4.41244613545016,0.859852334998017,32,59,4.798460345806093,2,1,189082,2024-07-01,0.05,0.57,0.54,1.0
2025-09-01,Client_B,Financial Services,Mid-Market,Alliance Partner,Partner_6,14,36,6121,73452,0,137,103,137,3,0.7254583324406527,246,40,35.158636166249565,57,3.648767692518563,84.56227964911231,0,0,150,27,0,0,0,7,114524,51489.2792239285,0.17852575178268926,99,4.677503675869956,668,False,0.0,0,0.9409336860253021,5279.391355791875,0.13823346947241688,93.37573811666937,5,30,1,33,10,67,0.914781477782761,11.424245568686306,8,4,10,1,20,4.934936935770359,0.9342525072354592,22,46,3.121588477802606,3,2,63486,2024-07-01,0.18,0.75,0.48,1.0
2025-10-01,Client_B,Financial Services,Mid-Market,Alliance Partner,Partner_6,15,36,6856,82272,0,142,77,142,2,0.6410946981021943,266,11,18.105243734174792,52,3.6554008488869503,77.75943914388014,0,0,134,71,0,0,0,6,157053,123243.88050218932,0.3955280578622009,116,5.726845099183198,638,False,0.0,0,0.9409336860253021,5520.799253689153,0.23936264364924045,89.03112764858821,2,1,2,79,49,410,0.8963477033244865,5.757545194881617,3,4,4,10,14,3.6043781318725046,0.961145358867763,16,25,5.476670572034241,1,1,160056,2024-07-01,0.53,0.54,0.64,0.5
2024-03-01,Client_C,Technology,Enterprise,Alliance Partner,Partner_5,0,36,29584,355008,0,431,250,431,5,0.7309693464041307,174,43,22.33403258809784,78,4.426757272889046,83.58890487145896,45804,59,150,44,85,176,0,7,148132,88920.60811443976,0.16362520878132825,95,1.2517915089237426,1095,False,0.0,0,0.849055943051273,29491.9680711544,0.10821729377771215,67.15480935238061,1,49,2,75,23,187,0.8679976515558323,7.963394600586576,9,4,4,7,19,4.555506895073996,0.9250393519834319,37,24,3.3824270454837837,1,2,61089,2024-03-01,0.29,0.58,1.54,0.33
2024-04-01,Client_C,Technology,Enterprise,Alliance Partner,Partner_5,1,36,27761,333132,0,458,307,458,5,0.7547494807844671,156,23,7.297975142534719,34,4.793165020418099,80.15157062578909,0,0,123,2,0,0,0,7,190777,143437.9483567797,0.1764389643893654,58,1.7180306905370843,1064,False,0.0,0,0.849055943051273,23559.74173151078,0.18833069324543678,78.3386890050221,3,19,5,66,26,418,0.875219906206853,8.146765983590075,4,4,7,6,6,3.8544032734200866,0.8719666327416541,27,31,4.614393911638995,0,0,0,2024-03-01,0.02,0.67,0.87,0.0
